id,cuisine
32770,vietnamese
5,indian
32774,jamaican
7,moroccan
11,korean
12,indian
13,british
32783,indian
38232,greek
18,indian
32789,filipino
23,spanish
26,vietnamese
32796,indian
32800,irish
35,mexican
36,spanish
32806,indian
42,moroccan
32813,spanish
47,indian
51,spanish
52,korean
57,mexican
32830,indian
66,mexican
32836,korean
32838,indian
32839,japanese
32843,moroccan
32852,moroccan
85,vietnamese
32854,filipino
32866,filipino
32869,indian
32871,filipino
32873,indian
5479,moroccan
32786,indian
32883,british
32884,indian
117,filipino
32889,filipino
122,mexican
123,mexican
32892,indian
32893,indian
32894,greek
130,vietnamese
131,moroccan
49174,irish
142,mexican
144,korean
32915,moroccan
32918,indian
32924,indian
32925,indian
32928,indian
164,moroccan
32933,moroccan
166,mexican
32935,indian
28,indian
32939,irish
172,indian
173,korean
32949,greek
182,spanish
183,filipino
188,moroccan
10954,filipino
191,indian
32960,filipino
16417,irish
32968,filipino
32970,indian
210,indian
32982,indian
32985,indian
219,russian
32989,indian
32991,indian
224,filipino
32993,irish
226,vietnamese
227,moroccan
229,moroccan
235,indian
236,indian
240,indian
246,indian
247,indian
249,filipino
33018,filipino
253,chinese
256,irish
257,filipino
263,irish
33033,filipino
43736,vietnamese
278,irish
286,filipino
33061,vietnamese
33063,filipino
33064,indian
299,indian
300,greek
33072,indian
38280,moroccan
32819,moroccan
308,moroccan
33077,spanish
313,filipino
316,irish
325,filipino
326,thai
327,filipino
2193,filipino
329,vietnamese
33106,moroccan
339,filipino
33108,indian
33109,filipino
344,southern_us
350,filipino
33120,southern_us
33121,korean
33129,filipino
33137,indian
370,indian
33139,filipino
373,moroccan
33143,filipino
376,indian
378,korean
381,moroccan
384,indian
33155,moroccan
388,korean
391,moroccan
392,moroccan
33163,korean
33164,indian
33165,moroccan
33170,filipino
403,indian
404,filipino
13107,vietnamese
411,filipino
416,indian
418,indian
423,moroccan
425,cajun_creole
71,greek
431,vietnamese
434,italian
33206,moroccan
439,filipino
440,indian
445,filipino
33214,korean
33224,indian
460,vietnamese
466,indian
480,korean
482,indian
33251,spanish
489,indian
33258,british
33264,filipino
33265,moroccan
498,filipino
33267,spanish
33269,filipino
33274,indian
511,korean
33281,moroccan
17,indian
33285,filipino
33286,thai
33287,filipino
520,filipino
525,filipino
526,british
527,korean
530,indian
33300,indian
5550,filipino
33302,indian
33305,russian
538,indian
33309,indian
542,chinese
544,filipino
33316,filipino
33326,filipino
564,indian
565,filipino
33336,vietnamese
569,indian
573,mexican
33342,filipino
33346,indian
579,cajun_creole
582,indian
584,filipino
585,indian
586,filipino
587,russian
33358,filipino
33367,filipino
33369,chinese
33370,korean
603,indian
606,korean
607,vietnamese
33377,vietnamese
33378,filipino
33379,vietnamese
33384,filipino
33387,indian
622,moroccan
33392,chinese
33399,indian
633,indian
634,filipino
635,filipino
33406,indian
643,indian
5569,filipino
649,mexican
33418,mexican
656,filipino
665,indian
668,indian
33437,filipino
33438,chinese
33443,moroccan
676,jamaican
678,indian
33447,british
33448,indian
685,indian
33455,filipino
688,indian
33457,filipino
33460,filipino
694,indian
33468,korean
701,indian
705,irish
708,british
712,korean
33483,indian
716,indian
719,indian
721,indian
723,indian
725,indian
728,indian
21967,moroccan
732,vietnamese
33503,korean
737,irish
738,vietnamese
741,filipino
743,korean
744,spanish
33522,indian
33523,indian
761,indian
762,chinese
33534,italian
767,korean
768,indian
770,moroccan
771,italian
774,indian
33544,moroccan
777,indian
778,indian
781,indian
784,indian
33553,italian
789,filipino
33560,filipino
795,irish
797,vietnamese
133,moroccan
805,filipino
807,vietnamese
809,indian
811,filipino
33580,indian
813,irish
33582,korean
817,indian
822,indian
823,indian
824,vietnamese
825,vietnamese
828,filipino
33598,moroccan
43829,moroccan
832,korean
5600,filipino
33602,moroccan
33604,indian
838,filipino
33614,irish
853,indian
33623,indian
33624,indian
33625,filipino
33629,indian
5605,indian
33632,indian
867,irish
868,indian
16529,spanish
872,indian
876,filipino
877,indian
33646,indian
33651,filipino
884,mexican
33661,spanish
33665,indian
33667,filipino
33675,indian
908,indian
33677,indian
33682,filipino
33684,filipino
918,filipino
33687,indian
33691,korean
33692,filipino
926,korean
33705,mexican
939,indian
941,mexican
33712,filipino
33713,italian
33714,irish
948,filipino
949,irish
33718,moroccan
33719,indian
33720,filipino
33722,indian
33725,filipino
33728,moroccan
33729,indian
33733,chinese
974,indian
975,indian
979,indian
987,russian
988,indian
989,filipino
33758,moroccan
33759,spanish
33761,indian
33763,indian
32934,korean
33767,mexican
1001,moroccan
33770,filipino
33773,indian
5489,korean
1011,moroccan
33780,filipino
1013,mexican
1014,indian
169,indian
1017,vietnamese
33790,moroccan
33791,korean
33793,russian
1027,vietnamese
33798,indian
1032,cajun_creole
33802,indian
43863,filipino
1038,irish
38224,filipino
33813,moroccan
1053,moroccan
33824,spanish
33826,korean
33829,filipino
1063,indian
1064,cajun_creole
33834,filipino
33840,russian
1073,indian
33842,filipino
1083,vietnamese
1084,indian
33855,mexican
33856,vietnamese
1089,moroccan
33861,korean
11106,indian
33874,greek
1107,indian
1108,spanish
1119,vietnamese
1120,moroccan
1125,greek
5649,korean
1130,moroccan
1132,filipino
1135,irish
1139,moroccan
33911,filipino
1147,indian
1150,vietnamese
192,vietnamese
33922,vietnamese
1156,filipino
1158,irish
1162,filipino
33934,filipino
33937,filipino
33940,spanish
33941,moroccan
33943,indian
1177,moroccan
33947,british
33950,moroccan
1184,filipino
33953,indian
33955,vietnamese
1189,greek
1192,british
38428,irish
1195,spanish
1200,indian
1201,indian
1203,greek
33972,filipino
1205,irish
1214,irish
33983,filipino
33985,irish
1218,filipino
1221,vietnamese
12043,filipino
1231,indian
1232,moroccan
34002,filipino
34003,korean
11129,indian
34010,indian
34020,british
34021,filipino
1255,indian
1257,indian
1259,vietnamese
34030,greek
34033,brazilian
16595,filipino
34036,filipino
1270,filipino
1280,vietnamese
34049,korean
34055,spanish
1289,korean
1293,indian
34063,filipino
34065,vietnamese
34066,indian
1300,moroccan
1301,indian
47145,filipino
34074,chinese
5499,italian
34077,vietnamese
34078,korean
34081,vietnamese
1317,indian
1322,indian
34092,cajun_creole
34095,filipino
34097,moroccan
34102,indian
1336,spanish
1337,indian
1338,british
1339,indian
34109,filipino
34113,korean
34120,filipino
1353,filipino
1354,indian
32994,irish
32995,filipino
34136,filipino
1370,italian
34141,indian
34143,moroccan
1377,british
1384,korean
1385,spanish
1388,french
34160,korean
34162,filipino
34164,russian
1397,indian
34166,cajun_creole
1400,cajun_creole
1405,moroccan
34175,filipino
1409,filipino
1411,brazilian
1414,korean
1417,irish
34186,indian
34189,filipino
1423,indian
34194,filipino
34195,indian
34196,filipino
1429,vietnamese
34201,indian
34210,british
1443,moroccan
34212,filipino
34214,spanish
34216,brazilian
1449,moroccan
1450,korean
1451,filipino
34221,irish
1454,chinese
34229,chinese
34234,indian
1467,filipino
34236,indian
1475,moroccan
34244,chinese
1482,korean
34251,indian
34252,vietnamese
1485,filipino
1488,indian
33017,spanish
34265,irish
1499,indian
34269,indian
34271,moroccan
1505,filipino
1508,indian
34278,vietnamese
34280,indian
1513,filipino
34282,moroccan
1519,mexican
1520,russian
34289,irish
34294,british
34297,indian
1530,moroccan
1532,filipino
1534,filipino
1535,moroccan
1536,filipino
34305,indian
1539,filipino
1541,mexican
34310,filipino
1544,filipino
1550,indian
34322,spanish
34323,chinese
1556,filipino
34326,spanish
34328,korean
43951,filipino
34333,filipino
1569,vietnamese
1570,indian
1572,filipino
1573,moroccan
34343,korean
1576,vietnamese
34346,italian
34348,irish
34349,indian
34351,filipino
34353,irish
34354,moroccan
34355,moroccan
34356,irish
34359,mexican
34363,moroccan
1599,filipino
49419,indian
1607,filipino
34376,spanish
43959,greek
34390,moroccan
1623,indian
1627,indian
1628,indian
1632,indian
1634,vietnamese
1636,indian
34405,moroccan
1638,moroccan
1645,korean
43965,moroccan
1653,irish
1655,irish
1656,indian
1658,korean
34427,filipino
34428,irish
34431,irish
1664,indian
1668,indian
34438,filipino
1676,british
1684,indian
34457,vietnamese
34459,moroccan
1692,british
34461,vietnamese
34470,moroccan
34476,filipino
34479,korean
34481,indian
34484,cajun_creole
34487,filipino
1721,filipino
1725,vietnamese
34494,moroccan
34495,filipino
34497,filipino
34498,filipino
11211,filipino
1733,chinese
1735,vietnamese
34505,korean
1740,spanish
1745,filipino
34515,korean
1749,korean
1751,filipino
1754,cajun_creole
1757,korean
1759,filipino
34531,moroccan
34532,indian
1766,moroccan
34536,filipino
1784,indian
1785,indian
34558,korean
5760,greek
1795,indian
1796,filipino
34566,indian
34569,indian
43991,irish
1808,irish
34580,filipino
1815,moroccan
39341,indian
1820,indian
34596,indian
34597,vietnamese
33073,chinese
34601,irish
34602,indian
34603,filipino
34606,moroccan
34607,moroccan
1843,indian
34614,spanish
34616,moroccan
38538,vietnamese
34629,indian
34630,moroccan
1866,british
1868,indian
34637,filipino
34638,korean
34639,moroccan
34641,vietnamese
34645,irish
33081,indian
34663,indian
33084,filipino
34666,spanish
34667,irish
1900,indian
5778,chinese
1902,filipino
1909,indian
46982,indian
38548,indian
1920,korean
34689,indian
34698,filipino
1932,filipino
34704,indian
1939,indian
34708,vietnamese
34711,korean
34712,korean
34713,vietnamese
34714,moroccan
1948,indian
1949,moroccan
1952,korean
1953,indian
34723,greek
34724,indian
1960,indian
1963,indian
34732,greek
34733,vietnamese
34735,moroccan
34741,mexican
1974,moroccan
1975,irish
1977,indian
1978,filipino
1981,filipino
1985,vietnamese
34754,moroccan
1987,filipino
1988,mexican
1989,indian
34760,british
34762,spanish
34763,filipino
1996,filipino
1999,korean
34772,indian
34773,korean
44803,indian
2013,indian
2014,indian
34783,spanish
2021,mexican
34790,irish
34798,moroccan
2031,cajun_creole
45895,indian
34803,filipino
2040,korean
34809,filipino
11263,korean
34812,indian
34815,indian
34818,indian
2052,chinese
16726,cajun_creole
38572,indian
34828,indian
2063,indian
33112,vietnamese
34835,irish
34837,irish
34839,thai
2075,moroccan
2078,indian
2083,indian
2084,indian
2086,indian
2090,spanish
2092,moroccan
34863,filipino
2099,spanish
33118,chinese
34870,indian
34872,filipino
34873,korean
2110,indian
34880,moroccan
34881,vietnamese
2114,greek
2117,moroccan
2118,filipino
2121,filipino
2131,filipino
34900,vietnamese
2133,indian
34903,vietnamese
2136,irish
34909,filipino
2144,moroccan
2146,spanish
34916,moroccan
2149,moroccan
34919,indian
2159,irish
2163,indian
2164,vietnamese
34937,indian
34940,indian
2174,japanese
34944,indian
34949,indian
34951,irish
2184,indian
2185,filipino
2187,jamaican
34959,irish
2192,mexican
44056,indian
34967,spanish
34970,indian
34971,korean
34973,indian
34975,filipino
2208,indian
34977,indian
34980,vietnamese
34991,indian
2224,indian
2226,indian
2229,indian
2231,indian
2232,indian
35002,indian
2236,spanish
2237,moroccan
35006,vietnamese
35008,irish
2242,greek
2243,moroccan
2244,korean
2245,french
35014,indian
35021,moroccan
2254,vietnamese
35031,indian
2268,indian
35038,moroccan
35042,indian
2280,indian
35049,filipino
35051,irish
2284,korean
33149,irish
35057,indian
35060,indian
35063,indian
35065,indian
35066,vietnamese
35068,irish
35074,british
2308,filipino
49537,indian
2314,cajun_creole
2316,irish
2317,moroccan
11309,vietnamese
35092,spanish
44078,thai
2329,filipino
35099,moroccan
35100,filipino
2334,korean
2336,spanish
35105,vietnamese
2338,filipino
35109,indian
35110,moroccan
35126,indian
35128,irish
44084,korean
2366,southern_us
35141,indian
2377,irish
35146,indian
2379,greek
2380,moroccan
2381,moroccan
35155,vietnamese
35156,indian
35160,vietnamese
2396,vietnamese
35168,moroccan
2404,irish
35173,irish
2406,moroccan
35181,irish
2419,filipino
2421,indian
35190,spanish
2427,filipino
35196,moroccan
2429,indian
2263,indian
35200,filipino
35203,filipino
35209,filipino
35214,korean
2447,indian
2448,irish
2450,mexican
2452,greek
35221,spanish
35223,british
35224,moroccan
35225,indian
2459,russian
35229,mexican
2464,indian
35238,british
2471,indian
35240,filipino
2473,indian
2474,spanish
35246,filipino
35249,vietnamese
2483,indian
2484,greek
2489,filipino
35258,indian
2492,korean
2493,filipino
35262,italian
2510,italian
2511,korean
35281,moroccan
35283,italian
49572,filipino
35292,indian
2526,indian
2532,vietnamese
35306,cajun_creole
2539,indian
35313,mexican
2547,irish
35320,indian
35321,filipino
2554,indian
35326,moroccan
11350,filipino
2567,korean
35345,korean
2579,indian
2580,mexican
35353,brazilian
2588,filipino
35359,moroccan
35360,filipino
2593,cajun_creole
35366,indian
35369,korean
35370,moroccan
2608,indian
35383,vietnamese
35385,indian
35387,jamaican
35391,moroccan
35394,british
35396,british
2629,indian
35400,indian
2633,chinese
35402,indian
35410,southern_us
44131,filipino
35412,indian
2648,filipino
2649,indian
35421,filipino
2669,spanish
35442,indian
2675,indian
2676,indian
35447,filipino
2680,indian
35451,irish
2684,greek
2685,mexican
2688,spanish
35461,thai
35468,indian
2701,indian
35474,filipino
2711,indian
35482,vietnamese
2716,vietnamese
5914,indian
2718,filipino
35488,irish
2721,irish
2728,moroccan
35499,korean
35502,indian
2740,indian
2746,mexican
35515,indian
35517,moroccan
2751,moroccan
35525,mexican
49612,indian
35530,filipino
2766,korean
16845,indian
2769,irish
2771,moroccan
49614,mexican
2774,filipino
35543,indian
2777,indian
35549,indian
2784,filipino
2786,moroccan
2787,indian
35556,mexican
2789,indian
35558,vietnamese
35560,filipino
35561,korean
35563,moroccan
35565,indian
2803,indian
35576,filipino
2812,indian
35581,cajun_creole
44160,moroccan
35589,indian
2823,vietnamese
49623,filipino
2828,indian
35597,vietnamese
35598,filipino
2833,filipino
35604,indian
35605,korean
2838,indian
35610,indian
2848,moroccan
2853,filipino
35625,indian
2860,moroccan
35629,british
2864,indian
35636,moroccan
2869,indian
2870,british
5940,irish
2875,vietnamese
35644,filipino
2878,vietnamese
35648,korean
2881,british
35650,filipino
35662,korean
35665,indian
35667,moroccan
44174,moroccan
35670,filipino
35675,thai
2913,vietnamese
35683,vietnamese
35685,indian
35686,mexican
35687,indian
2924,indian
35695,vietnamese
35698,indian
35699,moroccan
2933,filipino
2938,cajun_creole
2940,indian
2942,indian
2943,spanish
2944,moroccan
35713,indian
2954,vietnamese
35726,indian
35731,indian
2964,korean
2970,moroccan
35740,indian
35742,vietnamese
35746,korean
2981,irish
35750,filipino
35753,filipino
35754,indian
35755,indian
2990,korean
2991,indian
35760,indian
35762,british
2996,filipino
2999,indian
3001,indian
35770,spanish
35772,filipino
3006,korean
3009,greek
3010,indian
3014,moroccan
3015,indian
3016,indian
16887,moroccan
3020,korean
35790,indian
3024,vietnamese
3026,filipino
3029,indian
35798,indian
3031,indian
35806,moroccan
35809,filipino
3045,indian
35820,irish
35825,indian
35829,indian
35830,mexican
3063,filipino
3064,filipino
3066,indian
3067,moroccan
3068,indian
11434,irish
3070,irish
35840,moroccan
35841,moroccan
15378,korean
35843,filipino
35845,mexican
16897,jamaican
35848,filipino
35850,chinese
35851,moroccan
3090,vietnamese
3091,british
3094,vietnamese
3096,moroccan
35867,moroccan
35869,vietnamese
3103,filipino
3105,filipino
35874,filipino
3111,moroccan
35883,moroccan
35888,indian
3124,korean
35893,indian
35894,filipino
35900,indian
3133,filipino
35903,indian
3137,indian
35908,indian
35910,moroccan
35911,filipino
35914,indian
35918,filipino
3151,korean
3152,filipino
35922,moroccan
38755,vietnamese
35928,filipino
35929,indian
33295,filipino
35932,korean
3165,spanish
35936,vietnamese
16912,moroccan
35941,indian
3175,spanish
35947,moroccan
35954,moroccan
35958,british
35960,indian
35961,moroccan
35964,irish
35968,chinese
3202,indian
3203,korean
3205,indian
3207,filipino
3209,cajun_creole
35983,irish
35984,indian
35986,moroccan
35987,korean
3220,moroccan
35989,indian
3222,indian
35991,spanish
3225,moroccan
35996,thai
33306,filipino
3237,indian
3240,filipino
36009,irish
3244,indian
36015,vietnamese
3249,vietnamese
3251,spanish
36020,indian
49694,filipino
36024,thai
36028,indian
36029,filipino
3263,cajun_creole
36033,irish
36036,vietnamese
3269,vietnamese
36040,moroccan
3274,spanish
3281,moroccan
3282,irish
3284,indian
36059,indian
3292,spanish
3296,british
36066,moroccan
36070,greek
3309,irish
36078,moroccan
6013,korean
36081,vietnamese
3315,moroccan
36085,vietnamese
36086,filipino
49705,indian
3321,indian
3322,chinese
3323,indian
3324,vietnamese
3329,irish
3330,moroccan
36099,indian
36104,moroccan
36111,indian
36113,filipino
36114,korean
3350,vietnamese
3352,indian
36125,moroccan
3358,filipino
3363,russian
3369,korean
36140,irish
36144,spanish
36146,indian
3387,indian
38794,indian
3390,spanish
36159,moroccan
36160,brazilian
3397,moroccan
3401,indian
3402,vietnamese
3403,moroccan
3404,filipino
36182,indian
36185,korean
36187,indian
36191,mexican
36192,indian
36194,filipino
36195,filipino
3429,filipino
36198,vietnamese
36201,indian
3434,filipino
36205,vietnamese
33341,filipino
3444,indian
36218,mexican
36219,british
36220,indian
36222,korean
3460,chinese
3461,irish
3462,filipino
3463,filipino
36237,indian
3470,filipino
36239,moroccan
36245,russian
36249,filipino
36250,filipino
3483,indian
3489,indian
36259,indian
3495,vietnamese
36264,russian
36267,irish
3502,korean
36272,moroccan
3506,indian
3514,filipino
36283,moroccan
36287,british
38817,indian
3528,filipino
3529,vietnamese
36298,indian
3532,irish
3533,irish
36302,filipino
3537,mexican
36307,korean
3541,filipino
3545,korean
36315,irish
36320,filipino
3554,korean
3557,indian
3558,indian
3560,irish
3561,indian
36335,british
36339,indian
36340,korean
36343,filipino
36347,filipino
3580,filipino
3583,filipino
36353,spanish
36354,korean
36361,indian
3596,filipino
36366,indian
36367,chinese
3600,filipino
36373,indian
3610,filipino
3619,indian
36390,irish
3630,indian
36401,filipino
3635,vietnamese
36407,irish
33375,filipino
36415,indian
36418,korean
3652,filipino
36422,moroccan
36425,indian
36427,moroccan
610,vietnamese
36430,british
3667,indian
36438,irish
3677,filipino
36457,korean
11538,korean
36462,vietnamese
36463,vietnamese
36470,vietnamese
3703,indian
36483,chinese
36484,indian
36491,indian
3725,moroccan
3726,indian
36496,indian
3729,moroccan
36500,spanish
3734,indian
3737,spanish
3738,indian
3739,indian
44314,mexican
3742,british
3743,indian
36512,indian
36513,korean
3753,british
3755,indian
3761,indian
3762,filipino
3764,indian
36539,indian
36541,british
36543,indian
36550,irish
3785,indian
36558,filipino
38861,filipino
3792,irish
36562,filipino
3797,spanish
36568,filipino
36577,filipino
36584,korean
36585,moroccan
3818,filipino
36588,indian
36589,indian
36591,mexican
36593,indian
36594,indian
3830,moroccan
36600,british
3835,moroccan
36605,moroccan
3838,cajun_creole
36607,indian
3844,filipino
3846,irish
3847,irish
36621,filipino
36622,filipino
3856,spanish
36625,indian
36627,filipino
36628,moroccan
44334,irish
36631,spanish
36634,indian
36635,mexican
3870,vietnamese
36642,indian
3875,moroccan
36644,filipino
38876,vietnamese
36653,spanish
3886,british
36655,korean
3889,indian
3892,filipino
3893,indian
3895,moroccan
3897,indian
3903,indian
3909,indian
36678,filipino
3911,filipino
3912,filipino
36681,filipino
36687,spanish
36691,filipino
3924,irish
3927,filipino
3928,indian
3930,indian
3932,indian
3935,vietnamese
36704,greek
3938,indian
3943,indian
36713,indian
36714,korean
36715,indian
36720,indian
3954,russian
36723,indian
36724,vietnamese
36725,filipino
44868,indian
3963,indian
36732,korean
3965,brazilian
3969,indian
3970,russian
36740,moroccan
36741,filipino
36743,korean
36744,mexican
36746,chinese
36747,filipino
5588,indian
3985,indian
3987,indian
36756,moroccan
36758,irish
44356,indian
38895,british
36764,korean
4000,moroccan
38896,filipino
36772,indian
4006,irish
4008,indian
36779,korean
36782,indian
4016,russian
4019,indian
4020,cajun_creole
36789,indian
36791,vietnamese
4024,filipino
36795,british
4029,indian
4032,filipino
4033,moroccan
4034,moroccan
4039,greek
36811,moroccan
36812,moroccan
36813,mexican
36815,mexican
4049,filipino
4052,indian
4053,spanish
36822,greek
4056,indian
33444,indian
44367,moroccan
36829,vietnamese
36830,indian
36832,korean
11811,greek
4072,indian
679,british
36846,filipino
36847,filipino
36851,filipino
4085,moroccan
36855,vietnamese
4090,moroccan
4092,korean
4093,brazilian
4097,moroccan
4099,moroccan
36869,vietnamese
4102,moroccan
4103,british
36873,indian
36876,moroccan
4112,indian
36881,irish
4117,korean
36886,irish
36889,moroccan
36891,indian
4125,filipino
4128,filipino
4136,british
4139,indian
4143,mexican
4144,indian
36914,indian
36916,vietnamese
36917,korean
4150,greek
36920,indian
4154,mexican
36923,vietnamese
4160,filipino
4162,indian
36932,cajun_creole
36933,indian
4167,vietnamese
36937,filipino
4171,vietnamese
4172,korean
4175,mexican
4179,moroccan
36948,filipino
36951,vietnamese
4184,moroccan
36954,korean
4188,indian
4190,filipino
36961,filipino
36968,filipino
36969,vietnamese
7011,spanish
4209,irish
36981,moroccan
36983,indian
36988,indian
4222,indian
36993,filipino
36995,indian
4231,indian
4233,indian
4234,moroccan
4236,spanish
4237,filipino
4238,vietnamese
37007,indian
37008,moroccan
4244,mexican
37013,moroccan
4247,korean
4251,moroccan
37020,filipino
4253,filipino
4255,filipino
37025,filipino
37029,spanish
37035,indian
4271,filipino
4272,filipino
4276,spanish
37046,filipino
4279,indian
4280,filipino
37054,filipino
37056,filipino
37058,indian
4293,mexican
4294,filipino
33484,spanish
4301,moroccan
4302,irish
37071,indian
4305,filipino
4306,indian
4311,korean
4312,indian
4316,indian
37086,indian
4319,spanish
4320,moroccan
4322,moroccan
4328,filipino
37102,filipino
4336,irish
37105,greek
4338,spanish
37110,mexican
33493,korean
4353,chinese
37123,filipino
37124,indian
37125,moroccan
37128,filipino
4363,indian
37133,japanese
33496,vietnamese
37138,filipino
37141,indian
37143,indian
4377,korean
37147,indian
4381,korean
37150,british
37152,indian
4385,indian
4386,filipino
4387,mexican
4388,chinese
33500,indian
4398,british
4401,filipino
4402,spanish
4408,indian
4410,russian
4412,korean
4416,vietnamese
37189,filipino
4428,filipino
37197,chinese
4430,indian
37199,british
37204,filipino
37207,vietnamese
37208,filipino
4446,vietnamese
37216,moroccan
4450,korean
4452,russian
4453,filipino
37227,moroccan
4461,indian
37232,irish
4465,vietnamese
4466,moroccan
37243,filipino
37244,moroccan
37245,moroccan
4478,jamaican
4481,indian
41612,mexican
37251,indian
4484,irish
37253,moroccan
37256,spanish
37257,korean
4491,moroccan
37262,filipino
4501,korean
4506,indian
37277,cajun_creole
4510,thai
37279,vietnamese
4514,vietnamese
11675,korean
4516,cajun_creole
37285,indian
37287,irish
4522,indian
37297,filipino
4534,indian
37305,chinese
37307,moroccan
4540,filipino
4543,indian
4545,indian
4546,moroccan
4547,filipino
4550,indian
4553,filipino
4554,indian
37326,indian
37328,indian
4561,spanish
4562,vietnamese
37331,filipino
4571,irish
4572,french
37341,indian
6224,greek
37348,filipino
37350,mexican
4583,indian
4586,indian
37356,indian
4591,filipino
4594,filipino
4595,indian
37365,moroccan
37372,korean
4608,indian
37378,indian
37380,vietnamese
4616,moroccan
37385,korean
4623,indian
37395,spanish
37396,chinese
4633,british
37408,filipino
4641,indian
4642,irish
4643,irish
37412,indian
4651,moroccan
6237,indian
4657,thai
4658,indian
4661,indian
4662,filipino
33545,cajun_creole
37436,indian
4669,spanish
4673,indian
4675,korean
4679,moroccan
4683,indian
4685,moroccan
4686,moroccan
4693,mexican
37462,filipino
37463,filipino
4699,chinese
4700,filipino
37469,indian
37470,irish
4703,filipino
37475,korean
37476,korean
37481,moroccan
37488,filipino
4721,indian
37493,moroccan
4727,moroccan
4732,vietnamese
37503,vietnamese
37504,indian
37505,mexican
37511,british
37521,vietnamese
4754,korean
37526,vietnamese
4763,indian
4767,mexican
4768,filipino
4777,indian
37549,filipino
4783,moroccan
37552,korean
4791,mexican
4794,filipino
37563,vietnamese
4797,indian
4798,moroccan
37569,indian
37570,cajun_creole
4804,greek
4808,indian
4809,vietnamese
4811,korean
37581,indian
37582,indian
4815,moroccan
37584,vietnamese
4819,vietnamese
37589,indian
4823,indian
37592,russian
37598,indian
4831,korean
37601,british
4834,moroccan
37605,spanish
4838,moroccan
37610,moroccan
4847,moroccan
37617,indian
37618,indian
39038,indian
4855,indian
4856,filipino
37626,greek
4862,indian
37631,indian
4864,indian
4870,korean
37642,mexican
4875,indian
4877,moroccan
37649,korean
37652,filipino
37654,moroccan
4887,british
37657,indian
37666,indian
37668,spanish
33585,moroccan
4904,indian
37673,filipino
4907,filipino
37689,vietnamese
37690,indian
4924,korean
4925,filipino
4928,indian
4933,indian
4936,russian
37706,indian
4946,korean
4948,indian
37717,moroccan
37718,british
37722,filipino
37723,vietnamese
4956,mexican
4961,filipino
37731,indian
37733,moroccan
4966,russian
4968,indian
4972,indian
37741,vietnamese
4974,indian
37746,filipino
37751,indian
4987,indian
4992,filipino
4994,filipino
37764,filipino
37765,indian
37769,spanish
37771,filipino
37772,moroccan
37774,filipino
5008,indian
5010,cajun_creole
5012,filipino
5016,japanese
5022,indian
37791,thai
5024,indian
5026,indian
37800,indian
37801,korean
5034,mexican
37803,moroccan
5037,irish
37806,indian
37811,indian
37812,moroccan
5045,indian
37815,moroccan
5049,filipino
5051,greek
5053,irish
5056,moroccan
37825,indian
5059,brazilian
37829,indian
5063,irish
5072,filipino
5076,vietnamese
846,british
5079,indian
5088,vietnamese
37858,indian
37860,korean
37861,filipino
5094,indian
37865,filipino
37867,chinese
5105,indian
37876,filipino
5110,spanish
37880,greek
5113,filipino
